"External ID","Display Name"
"__export__.product_category_836","Industrias Donsson / Materia Prima"
"__export__.product_category_855","Industrias Donsson / Materia Prima / Importado"
"__export__.product_category_856","Industrias Donsson / Materia Prima / Importado / Corte"
"__export__.product_category_1105","Industrias Donsson / Materia Prima / Importado / Corte / C AND M CINTA ENTUBADORA"
"__export__.product_category_1054","Industrias Donsson / Materia Prima / Importado / Corte / C AND M MALLA EXPANDIDA"
"__export__.product_category_857","Industrias Donsson / Materia Prima / Importado / Corte / Ladesa Malla Expandida"
"__export__.product_category_1132","Industrias Donsson / Materia Prima / Importado / Emabalaje"
"__export__.product_category_1133","Industrias Donsson / Materia Prima / Importado / Emabalaje / C AND M Hotmelt"
"__export__.product_category_877","Industrias Donsson / Materia Prima / Importado / Plisado"
"__export__.product_category_985","Industrias Donsson / Materia Prima / Importado / Plisado / Clean & Science Papel"
"__export__.product_category_1038","Industrias Donsson / Materia Prima / Importado / Plisado / AHLSTROM "
"__export__.product_category_863","Industrias Donsson / Materia Prima / Importado / Plisado / C and M industrial Supply"
