product_name;producto_code;Suma de stock_actual;Suma de inventario_ideal;sucursal_nombre;clasificacion;Suma de valor_stock_actual;Suma de valor_stock_ideal;categoria_producto
BLS00699125;125 B7503;6;1;CALI;C;636524.88;106087.48;Filtro
DAB02689025;025 DA2689;6;0;CALI;C;275046.36;0;Filtro
DAB02869025;025 DA2869;6;2;CALI;C;140980.98;46993.66;Filtro
DAB02975025;025 DA2975;6;1;CALI;C;83974.38;13995.73;Filtro
DAB04780025;025 DA4780;6;2;CALI;C;79625.7;26541.9;Filtro
DAB04887025;025 DA4887;6;0;CALI;C;181438.44;0;Filtro
DAB04919025;025 DA4919;6;0;CALI;C;140895.42;0;Filtro
DAB08062025;025 DA8062;6;0;CALI;C;199184.88;0;Filtro
DAB08134025;025 DA8134;6;0;CALI;C;131081.64;0;Filtro
DAB08195025;025 DA8195;6;1;CALI;C;327799.98;54633.33;Filtro
DAB09062025;025 DA9062;6;1;CALI;C;137436.6;22906.1;Filtro
DAB09145025;025 DA9145;6;0;CALI;C;124034.88;0;Filtro
DAB12982025;025 DA2982UHE;6;0;CALI;C;428798.7;0;Filtro
DAC00137189;189 DAC137;6;0;CALI;C;33923.1;0;Filtro
DAE02276025;025 DA2276;6;0;CALI;C;1032050.16;0;Filtro
DAE04056025;025 DA4056;6;0;CALI;C;94111.86;0;Filtro
DAE04265025;025 DA4265;6;1;CALI;C;137995.38;22999.23;Filtro
DAE08142025;025 DA8142;6;2;CALI;C;220560.42;73520.14;Filtro
DAR02416025;025 DA2416;6;0;CALI;C;352191.78;0;Filtro
DAR03196025;025 DA3196;6;1;CALI;C;183815.82;30635.97;Filtro
DAR08041025;025 DA8041;6;2;CALI;C;256803.78;85601.26;Filtro
DAS07805025;025 DA7805;6;0;CALI;C;145042.62;0;Filtro
DCE00165145;145 146483EVA;6;0;CALI;C;23951.1;0;Otros
DCE00833118;118 G833;6;1;CALI;C;107370.12;17895.02;Otros
DCS00082189;189 GS082;6;0;CALI;C;36770.76;0;Filtro
DCS00252189;189 GS252;6;2;CALI;C;35717.7;11905.9;Filtro
DCS00272189;189 GS272;6;0;CALI;C;70580.4;0;Filtro
DCS00744136;136 FLP434;6;1;CALI;C;120473.04;20078.84;Otros
DCS20115189;189 GS115;6;1;CALI;C;70185.96;11697.66;Filtro
DHE00922024;024 G922;6;0;CALI;C;466663.32;0;Otros
DLE01024189;189 G1024;6;1;CALI;C;41700;6950;Filtro
DLS00077189;189 GS077;6;1;CALI;C;139482;23247;Filtro
BAP09109125;125 PA5451;5;0;CALI;C;398898.35;0;Filtro
BCE00117125;125 PF834;5;1;CALI;C;110823.6;22164.72;Filtro
BCE00711125;125 PF7899;5;1;CALI;C;355743.45;71148.69;Filtro
BCE00790125;125 PF7984;5;1;CALI;C;337910.75;67582.15;Filtro
BCE00899125;125 PF7896;5;0;CALI;C;267038.4;0;Filtro
BCE10551125;125 151W;5;2;CALI;C;132630.75;53052.3;Filtro
BCS00065125;125 BF593;5;1;CALI;C;95625.6;19125.12;Filtro
BCS00302125;125 BF1256;5;1;CALI;C;120973.85;24194.77;Filtro
BCS00345125;125 BF1258;5;0;CALI;C;199819.9;0;Filtro
BCS00638125;125 BF9847D;5;1;CALI;C;233587.95;46717.59;Filtro
BCS10088125;125 BF971;5;0;CALI;C;100894.75;0;Filtro
BCS10390125;125 BF7925;5;1;CALI;C;249390.8;49878.16;Filtro
BHE00119125;125 PT207HD;5;1;CALI;C;115500.2;23100.04;Filtro
BHS00130125;125 BT367;5;0;CALI;C;170391.05;0;Filtro
BHS10066125;125 BT839;5;1;CALI;C;85314.45;17062.89;Filtro
BLE00726125;125 P7230;5;1;CALI;C;270896.65;54179.33;Filtro
BLS00024125;125 B7431;5;1;CALI;C;98203.8;19640.76;Filtro
BLS00100125;125 BT343;5;1;CALI;C;326041.2;65208.24;Filtro
BLS00217125;125 B7039;5;1;CALI;C;187931.35;37586.27;Filtro
BLS00588125;125 B7385;5;2;CALI;C;190862.95;76345.18;Filtro
DAB02959025;025 DA2959;5;1;CALI;C;104960.1;20992.02;Filtro
DAB04546025;025 DA4546;5;1;CALI;C;61303.45;12260.69;Filtro
DAB04640025;025 DA4640;5;2;CALI;C;83211.7;33284.68;Filtro
DAB04654025;025 DA4654;5;1;CALI;C;111098.9;22219.78;Filtro
DAB05739025;025 DA5739;5;1;CALI;C;120603.7;24120.74;Filtro
DAB08150025;025 DA8150;5;1;CALI;C;132948.2;26589.64;Filtro
DAB08154025;025 DA8154;5;2;CALI;C;101619.75;40647.9;Filtro
DAB09220025;025 DA9220;5;3;CALI;C;37329.75;22397.85;Filtro
DAE00706189;189 GA706;5;0;CALI;C;56049.9;0;Filtro
DAE02439025;025 DA2439;5;2;CALI;C;470358.1;188143.24;Filtro
DAE02653025;025 DA2653;5;1;CALI;C;185309.6;37061.92;Filtro
DAE04047025;025 DA4047;5;1;CALI;C;239331.7;47866.34;Filtro
DAE04517025;025 DA4517;5;2;CALI;C;154585.4;61834.16;Filtro
DAE05381025;025 DA5381;5;1;CALI;C;212170.7;42434.14;Filtro
DAE08260189;189 DA8260;5;1;CALI;C;224020;44804;Filtro
DAR02191025;025 DA2191;5;1;CALI;C;221189.9;44237.98;Filtro
DAR03413025;025 DA3413;5;1;CALI;C;184231.2;36846.24;Filtro
DAR08039025;025 DA8039;5;1;CALI;C;146777.7;29355.54;Filtro
DAR08242025;025 DA8242;5;1;CALI;C;384821.6;76964.32;Filtro
DAS07822025;025 DA7822;5;1;CALI;C;211801.35;42360.27;Filtro
DCE00609137;137 REC672;5;1;CALI;C;165240;33048;Filtro
DCE00663137;137 REC150;5;1;CALI;C;176725;35345;Filtro
DCS00229137;137 RC910FM;5;0;CALI;C;188015;0;Filtro
DCS00495137;137 RC913FM;5;1;CALI;C;220820;44164;Filtro
DCS00727189;189 GS727;5;2;CALI;C;99180;39672;Filtro
DCS10352138;138 R45T;5;0;CALI;C;445214.9;0;Filtro
DLE00664189;189 G664;5;2;CALI;C;82851.8;33140.72;Filtro
BAC00123125;125 PA5697;4;2;CALI;C;228699;114349.5;Filtro
BAC00226125;125 PA5689;4;1;CALI;C;472944;118236;Filtro
BCE00376125;125 101;4;0;CALI;C;73933.64;0;Filtro
BCS00028125;125 BF957D;4;1;CALI;C;92028.44;23007.11;Filtro
BCS00235125;125 BF7532;4;2;CALI;C;225857;112928.5;Filtro
BCS00305125;125 BF9821;4;1;CALI;C;121600.28;30400.07;Filtro
BCS00317125;125 BF7957;4;2;CALI;C;192075.52;96037.76;Filtro
BCS00387125;125 BF7886;4;2;CALI;C;211491.52;105745.76;Filtro
BCS00465125;125 BF7966;4;0;CALI;C;220016.2;0;Filtro
BCS00627125;125 BF9818;4;1;CALI;C;381785.92;95446.48;Filtro
BCS00734125;125 BF781;4;0;CALI;C;142906.28;0;Filtro
BCS00745125;125 BF63000;4;1;CALI;C;279035.36;69758.84;Filtro
BCS10585125;125 BF9898O;4;1;CALI;C;312017.32;78004.33;Filtro
BCS20168125;125 BF1282;4;0;CALI;C;151870.72;0;Filtro
BCS30666125;125 BF9923O;4;0;CALI;C;384338.2;0;Filtro
BHE00995125;125 PT23561MPG;4;0;CALI;C;551445.4;0;Filtro
