product_name,producto_code,Suma de stock_actual,Suma de inventario_ideal,sucursal_nombre,clasificacion,Suma de valor_stock_actual,Suma de valor_stock_ideal,categoria_producto
DAB09191025,025 DA9191,14,11,CALI,B,272259.54,213918.21,Filtro
DAE02672025,025 DA2672,14,4,CALI,B,350677.6,100193.6,Filtro
DAR02986025,025 DA2986,14,7,CALI,B,189492.24,94746.12,Filtro
DCE00844189,189 G844,14,10,CALI,B,105526.26,75375.9,Filtro
DCE00905189,189 G905,14,9,CALI,B,76046.32,48886.92,Filtro
DCE20126137,137 2020PM,14,5,CALI,B,407178.52,145420.9,Filtro
DCS00605189,189 GS605,14,4,CALI,B,278670.28,79620.08,Filtro
BCE00654125,125 BF7965,13,6,CALI,B,717365.48,331091.76,Filtro
BCS00104125,125 BF7602,13,7,CALI,B,412491.69,222110.91,Filtro
BCS00444125,125 BF1365,13,4,CALI,B,572381.29,176117.32,Filtro
BHS00442125,125 BT8870MPG,13,2,CALI,B,2442160.76,375717.04,Filtro
BLS00498125,125 B7220,13,7,CALI,B,236035.93,127096.27,Filtro
DAB02881025,025 DA2881,13,3,CALI,B,563105.4,129947.4,Filtro
DAB04832025,025 DA4832,13,6,CALI,B,172520.4,79624.79999999999,Filtro
DAR02109025,025 DA2109,13,10,CALI,B,434184.9199999999,333988.4,Filtro
DAR03066025,025 DA3066,13,5,CALI,B,250690.83,96419.55,Filtro
BCS00253125,125 BF7586,12,7,CALI,B,505758.24,295025.64,Filtro
BCS00483125,125 BF5587D,12,5,CALI,B,508650.12,211937.55,Filtro
BLS00044125,125 B178,12,7,CALI,B,147614.76,86108.61,Filtro
DAB02028025,025 DA2028,12,9,CALI,B,256345.2,192258.9,Filtro
DAB12872025,025 DA2872A,12,8,CALI,B,320599.08,213732.72,Filtro
DAC00121189,189 DAC121,12,7,CALI,B,55910.88,32614.68,Filtro
DAE04109025,025 DA4109,12,8,CALI,B,268813.68,179209.12,Filtro
DAR02123025,025 DA2123,12,6,CALI,B,667473.48,333736.74,Filtro
DAR02949025,025 DA2949,12,10,CALI,B,310647.6,258873,Filtro
DCS00540189,189 GS540,12,7,CALI,B,267701.76,156159.36,Filtro
DLS00136189,189 GS136,12,6,CALI,B,240731.28,120365.64,Filtro
BCS00236125,125 BF1259,11,7,CALI,B,404026.7,257107.9,Filtro
BCS00691125,125 BF9891D,11,7,CALI,B,657022.08,418104.96,Filtro
BCS10161125,125 BF7629,11,6,CALI,B,318916.51,173954.46,Filtro
BHS00330125,125 BT9388,11,4,CALI,B,475612.06,172949.84,Filtro
BLS00106125,125 B7144,11,6,CALI,B,429538.45,234293.7,Filtro
DAB09126025,025 DA9126,11,8,CALI,B,260593.19,189522.32,Filtro
DAR02523025,025 DA2523,11,4,CALI,B,785806.12,285747.68,Filtro
DCS00564137,137 R160T,11,3,CALI,B,916912.48,250067.04,Filtro
DRGCOOLV035,035 COOLV - GALON,11,13,CALI,B,147542.56,174368.48,Aceite/Lubricante
BCE00779125,125 BF7519,10,3,CALI,B,424939.4,127481.82,Filtro
BCS00015125,125 BF957,10,6,CALI,B,226872.1,136123.26,Filtro
BCS00500125,125 BF7952D,10,8,CALI,B,490734.2,392587.36,Filtro
BCS10416125,125 BF7950D,10,4,CALI,B,406998,162799.2,Filtro
BCS20197125,125 BF1249O,10,4,CALI,B,531785.7,212714.28,Filtro
BLS00095125,125 BT486,10,6,CALI,B,542797.3,325678.38,Filtro
BLS00177125,125 B7025,10,7,CALI,B,310318.6,217223.02,Filtro
BLS00542125,125 B7327,10,11,CALI,B,362579.3,398837.23,Filtro
DAB02946025,025 DA2946,10,10,CALI,B,176783.7,176783.7,Filtro
DAC00236020,020 DAC236,10,9,CALI,B,110000,99000,Otros
DAE02983025,025 DA2983,10,6,CALI,B,105652.1,63391.25999999999,Filtro
DAR02122025,025 DA2122,10,4,CALI,B,879946.3,351978.52,Filtro
DAR02265025,025 DA2265,10,5,CALI,B,422869.3,211434.65,Filtro
DLS00232189,189 GS232,10,4,CALI,B,40901.7,16360.68,Filtro
DLS00268189,189 GS268,10,8,CALI,B,82536.7,66029.36,Filtro
BCS00427125,125 BF7675D,9,7,CALI,B,351609.66,273474.18,Filtro
BCS00708125,125 BF9885,9,4,CALI,B,1184897.43,526621.08,Filtro
BCS10472125,125 BF9903SP,9,4,CALI,B,627403.5,278846,Filtro
BCS10494125,125 BF1354SPS,9,5,CALI,B,878132.25,487851.25,Filtro
BLE00094125,125 PT631,9,5,CALI,B,152950.86,84972.70000000001,Filtro
BLS00022125,125 BT364,9,7,CALI,B,173536.56,134972.88,Filtro
BLS00029125,125 BT287,9,4,CALI,B,458315.01,203695.56,Filtro
BLS00043125,125 B113,9,4,CALI,B,111307.68,49470.08,Filtro
BLS00186125,125 BD324,9,5,CALI,B,777476.16,431931.2,Filtro
BLS00289125,125 BA5374,9,3,CALI,B,980827.02,326942.34,Filtro
BLS10003125,125 B7219,9,9,CALI,B,385358.76,385358.76,Filtro
DAB08137025,025 DA8137,9,5,CALI,B,948547.26,526970.7,Filtro
DAB08209025,025 DA8209,9,8,CALI,B,429893.91,382127.92,Filtro
DAB09027025,025 DA9027,9,5,CALI,B,172311.12,95728.4,Filtro
DAB09209025,025 DA9209,9,4,CALI,B,192551.31,85578.36,Filtro
DAC00037189,189 DAC037,9,11,CALI,B,49261.23,60208.17000000001,Filtro
DAE09142025,025 DA9142,9,7,CALI,B,90279,70217,Filtro
DAR03069025,025 DA3069,9,9,CALI,B,138890.79,138890.79,Filtro
BCS00384125,125 BF7634,8,9,CALI,B,225718.4,253933.2,Filtro
BCS00568125,125 BF9828D,8,5,CALI,B,354365.36,221478.35,Filtro
BHE00301125,125 PT390MPG,8,5,CALI,B,634658.24,396661.4,Filtro
BHS00067125,125 BT26010,8,4,CALI,B,199735.92,99867.96,Filtro
BLS00023125,125 B975,8,7,CALI,B,187861.68,164378.97,Filtro
BLS00108125,125 BT216,8,7,CALI,B,255599.84,223649.86,Filtro
BLS00490125,125 B7217,8,5,CALI,B,497261.52,310788.45,Filtro
DAB04946025,025 DA4946,8,6,CALI,B,81766.8,61325.10000000001,Filtro
DAB08131025,025 DA8131,8,13,CALI,B,126409.28,205415.08,Filtro
DAB08151025,025 DA8151,8,6,CALI,B,181440.96,136080.72,Filtro
DAC00211020,020 DAC211,8,10,CALI,B,115978.72,144973.4,Otros
DAR02369025,025 DA2369,8,6,CALI,B,326114.64,244585.98,Filtro
DAR08012025,025 DA8012,8,6,CALI,B,224197.68,168148.26,Filtro
DCE00662189,189 G662,8,5,CALI,B,37381.44,23363.4,Filtro
BCE00764125,125 PF7782,7,4,CALI,B,310697.66,177541.52,Filtro
BCS00216125,125 BF959,7,4,CALI,B,421097.81,240627.32,Filtro
BCS00243125,125 BF7681D,7,6,CALI,B,254283.54,217957.32,Filtro
BCS00352125,125 BF1389O,7,3,CALI,B,502015.64,215149.56,Filtro
BCS00412125,125 BF7815,7,6,CALI,B,228637.92,195975.36,Filtro
BCS00425125,125 BF1385SPS,7,4,CALI,B,466757.2000000001,266718.4,Filtro
BCS00557125,125 BF1345O,7,6,CALI,B,454712.79,389753.82,Filtro
BCS00747125,125 BF46069,7,4,CALI,B,403743.06,230710.32,Filtro
