sucursal_nombre,producto_marca,product_name,producto_code,clasificacion,stock_actual,inventario_ideal,producto_costo_unitario,semana,ano
BARRANQUILLA,DONSSON,DAB08010025,025 DA8010,A,58,31,39754.24,34,2025
BARRANQUILLA,DONSSON,DAR02049025,025 DA2049,A,32,24,44883.42,34,2025
BARRANQUILLA,BALDWIN,BCS00444125,125 BF1365,A,50,27,44029.33,34,2025
BARRANQUILLA,DONSSON,DAS07802025,025 DA7802,A,24,25,43973.48,34,2025
BARRANQUILLA,DONSSON,DAB09209025,025 DA9209,A,12,25,21394.59,34,2025
BARRANQUILLA,BALDWIN,BCS10417125,125 BF7949D,A,12,24,42647.06,34,2025
BARRANQUILLA,DONSSON,DAB08007025,025 DA8007,B,23,23,19703.04,34,2025
BARRANQUILLA,BALDWIN,BWS00303125,125 B5087,A,28,25,60334.96,34,2025
BARRANQUILLA,BALDWIN,BHS00685125,125 BT9400MPG,A,0,27,191599.88,34,2025
BARRANQUILLA,BALDWIN,BHE00009125,125 PT189,A,23,23,25273.28,34,2025
BARRANQUILLA,DONSSON,DAB09218025,025 DA9218,B,34,23,15736.38,34,2025
BARRANQUILLA,BALDWIN,BCS00603125,125 BF1289SP,A,8,23,68800.57,34,2025
BARRANQUILLA,AUT*PARTS,DLE00726189,189 G726,B,22,22,10259.21,34,2025
BARRANQUILLA,BALDWIN,BWS30078125,125 BW5073,A,11,24,44376.1,34,2025
BARRANQUILLA,AUT*PARTS,DCE00390189,189 G390,B,66,27,8047.05,34,2025
BARRANQUILLA,BALDWIN,BLS00264125,125 B7155,A,22,22,53058.33,34,2025
BARRANQUILLA,DONSSON,DAB08196025,025 DA8196,A,21,22,37650.52,34,2025
BARRANQUILLA,DONSSON,DAB09037025,025 DA9037,B,8,22,20299.8,34,2025
BARRANQUILLA,DONSSON,DAR02265025,025 DA2265,A,9,22,42286.93,34,2025
BARRANQUILLA,DONSSON,DAB02886025,025 DA2886,B,28,21,9854.47,34,2025
BARRANQUILLA,BALDWIN,BCE00782125,125 PF7983,A,29,23,57661.72,34,2025
BARRANQUILLA,BALDWIN,BCE00633125,125 PF7748,A,31,25,39432.74,34,2025
BARRANQUILLA,DONSSON,DAB08209025,025 DA8209,A,13,22,47765.99,34,2025
BARRANQUILLA,BALDWIN,BHS10133125,125 BT8850MPG,A,23,22,107713.72,34,2025
BARRANQUILLA,AUT*PARTS,DAC00121189,189 DAC121,B,36,23,4659.24,34,2025
BARRANQUILLA,DONSSON,DAB08093025,025 DA8093,A,22,22,68944.74,34,2025
BARRANQUILLA,BALDWIN,BLS00670125,125 B1434,B,17,21,20123.29,34,2025
BARRANQUILLA,BALDWIN,BLS10286125,125 BD50000,A,57,28,94550.23,34,2025
BARRANQUILLA,RACOR BRASIL,DCE01002137,137 RE160J10MAQII,B,7,23,25822.25,34,2025
BARRANQUILLA,DONSSON,DAS07804025,025 DA7804,A,4,21,31418.6,34,2025
BARRANQUILLA,DONSSON,DAR02047025,025 DA2047,A,31,21,30410.6,34,2025
BARRANQUILLA,DONSSON,DAR03071025,025 DA3071,B,30,21,23535.82,34,2025
BARRANQUILLA,RACOR BRASIL,DCE10126137,137 2020TM,B,0,24,28845.97,34,2025
BARRANQUILLA,BALDWIN,BCS00585125,125 BF1346O,A,24,21,79813.23,34,2025
BARRANQUILLA,DONSSON,DAB08056025,025 DA8056,B,63,24,26842.03,34,2025
BARRANQUILLA,DONSSON,DAR02132025,025 DA2132,A,33,23,40246.39,34,2025
BARRANQUILLA,DONSSON,DAR02369025,025 DA2369,A,23,22,40423.06,34,2025
BARRANQUILLA,DONSSON,DAR08226025,025 DA8226,A,20,21,41972.11,34,2025
BARRANQUILLA,AUT*PARTS,DLS00752189,189 GS752,B,4,21,20802.0,34,2025
BARRANQUILLA,AUT*PARTS,DAS00719189,189 GS719,B,18,19,6802.0,34,2025
BARRANQUILLA,DONSSON,DAR02190025,025 DA2190,A,16,20,39249.45,34,2025
BARRANQUILLA,AUT*PARTS,DCE00990189,189 G990,B,0,28,9630.05,34,2025
BARRANQUILLA,BALDWIN,BHE00064125,125 PT9010,B,18,19,28272.93,34,2025
BARRANQUILLA,BALDWIN,BLS00590125,125 B7378,A,20,21,30505.21,34,2025
BARRANQUILLA,DONSSON,DAB09027025,025 DA9027,A,19,19,21904.61,34,2025
BARRANQUILLA,RACOR BRASIL,DCE00609137,137 REC672,B,26,20,33048.0,34,2025
BARRANQUILLA,DONSSON,DAB04028025,025 DA4028,B,21,19,11646.81,34,2025
BARRANQUILLA,DONSSON,DAP09109025,025 DA9109,B,0,19,6270.0,34,2025
BARRANQUILLA,DONSSON,DAB04864025,025 DA4864,B,18,19,11844.58,34,2025
BARRANQUILLA,BALDWIN,BLS00646125,125 B7499,A,7,21,37193.23,34,2025
BARRANQUILLA,BALDWIN,BLS00106125,125 B7144,A,6,20,39048.95,34,2025
BARRANQUILLA,AUT*PARTS,DLS10286189,189 GS286A,B,0,23,26616.04,34,2025
BARRANQUILLA,BALDWIN,BLS00151125,125 B160,B,18,18,11458.27,34,2025
BARRANQUILLA,HIDROCOOL,DRGCOOLV035,035 COOLV - GALON,B,8,19,13412.96,34,2025
BARRANQUILLA,DONSSON,DAB04932025,025 DA4932,B,18,18,11864.02,34,2025
BARRANQUILLA,BALDWIN,BCS00281125,125 BF7656,B,16,18,33674.12,34,2025
BARRANQUILLA,BALDWIN,BLS10141125,125 BD7309,A,0,18,87284.02,34,2025
BARRANQUILLA,DONSSON,DAR02513025,025 DA2513,A,11,18,82850.5,34,2025
BARRANQUILLA,BALDWIN,BCE00738125,125 PF7930,B,20,19,39516.91,34,2025
BARRANQUILLA,DONSSON,DAB08031025,025 DA8031,B,20,17,17955.23,34,2025
BARRANQUILLA,DONSSON,DAB08002025,025 DA8002,B,20,18,24172.13,34,2025
BARRANQUILLA,BALDWIN,BCS10472125,125 BF9903SP,A,7,19,69711.5,34,2025
BARRANQUILLA,DONSSON,DAE09118025,025 DA9118,B,48,22,27334.21,34,2025
BARRANQUILLA,DONSSON,DAB04671025,025 DA4671,B,0,21,8415.77,34,2025
BARRANQUILLA,DONSSON,DAR03114025,025 DA3114,B,19,18,35975.28,34,2025
BARRANQUILLA,BALDWIN,BHS00260125,125 BT38710,B,23,18,45045.41,34,2025
BARRANQUILLA,BALDWIN,BLS00548125,125 BD7250,A,3,20,103331.29,34,2025
BARRANQUILLA,BALDWIN,BCS00347125,125 BF7633,B,11,18,27086.06,34,2025
BARRANQUILLA,BALDWIN,BHS00391125,125 BT8416,A,2,20,54844.63,34,2025
BARRANQUILLA,BALDWIN,BLE00007125,125 PT670,B,15,17,16649.59,34,2025
BARRANQUILLA,DONSSON,DAR08012025,025 DA8012,B,19,18,35798.31,34,2025
BARRANQUILLA,BALDWIN,BHS00274125,125 BT8417,A,18,18,29304.97,34,2025
BARRANQUILLA,AUT*PARTS,DLS00264004,004 GS264,B,91,23,26192.0,34,2025
BARRANQUILLA,BALDWIN,BCE00654125,125 BF7965,A,18,17,55181.96,34,2025
BARRANQUILLA,AUT*PARTS,DLE01024189,189 G1024,B,0,18,6950.0,34,2025
BARRANQUILLA,DONSSON,DAB04852025,025 DA4852,B,29,17,15775.79,34,2025
BARRANQUILLA,DONSSON,DAE04047025,025 DA4047,B,16,17,47866.34,34,2025
BARRANQUILLA,DONSSON,DAB09056025,025 DA9056,B,43,20,16379.87,34,2025
BARRANQUILLA,BALDWIN,BLS00050125,125 B228,B,22,18,18282.71,34,2025
BARRANQUILLA,BALDWIN,BLS00052125,125 B227,B,18,18,14911.99,34,2025
BARRANQUILLA,DONSSON,DAB02640025,025 DA2640,B,18,17,25333.62,34,2025
BARRANQUILLA,AUT*PARTS,DAC00066189,189 DAC066,B,15,17,3048.52,34,2025
BARRANQUILLA,BALDWIN,BHS10067125,125 BT8391,B,4,17,22565.19,34,2025
BARRANQUILLA,DONSSON,DAR02242025,025 DA2242,A,2,18,74116.8,34,2025
BARRANQUILLA,BALDWIN,BWS40078125,125 B5134,B,21,16,22025.8,34,2025
BARRANQUILLA,DONSSON,DAE04113025,025 DA4113,B,10,17,20706.11,34,2025
BARRANQUILLA,BALDWIN,BCS00162125,125 BF790,B,33,17,19297.25,34,2025
BARRANQUILLA,DONSSON,DAE04189025,025 DA4189,B,37,17,18474.11,34,2025
BARRANQUILLA,BALDWIN,BLS00457125,125 B1405,B,43,18,12245.33,34,2025
